uid,city,state,age_range_id,latitude,longitude,si_rank,se_rank,cs_rank,rt_rank,overall_rank
1,Mumbai,Maharashtra,2,18.975,72.8258,60.9762,35.4689,47.9279,82.8775,56.8126
2,Delhi,Delhi,2,28.6667,77.2167,84.303,65.8073,62.8361,51.6942,66.1602
3,Bangalore,Karnataka,2,12.9833,77.5833,88.508,32.9467,45.2262,54.7868,55.3669
4,Hyderabad,Telangana,0,17.3753,78.4744,31.487,23.7115,65.0021,37.2737,39.3686
5,Ahmedabad,Gujarat,2,23.0333,72.6167,84.2514,31.8691,84.3463,34.3585,58.7063
6,Chennai,Tamil Nadu,0,13.0833,80.2833,49.7624,30.7274,1.2169,61.5556,35.8156
7,Kolkata,West Bengal,0,22.5697,88.3697,25.2368,55.0537,20.399,12.5568,28.3116
8,Surat,Gujarat,2,20.9667,72.9,71.6005,42.6631,74.1153,48.2694,59.1621
9,Pune,Maharashtra,0,18.5333,73.8667,71.3946,16.1791,10.3685,34.5099,33.113
10,Jaipur,Rajasthan,1,24.5833,86.85,48.1696,29.3511,36.4718,61.2016,43.7985
11,Lucknow,Uttar Pradesh,2,26.85,80.9167,67.8112,73.7034,37.7734,66.6921,61.495
12,Kanpur,Uttar Pradesh,2,26.4667,80.35,88.6993,40.0124,55.8169,26.9062,52.8587
13,Nagpur,Maharashtra,2,23.3,82.3,81.952,21.9634,59.9129,87.6851,62.8783
14,Indore,Madhya Pradesh,1,22.7167,75.8333,21.5588,69.2214,29.2237,60.5558,45.1399
15,Thane,Maharashtra,0,19.2,72.9667,44.8503,21.2793,20.2748,24.1698,27.6435
16,Bhopal,Madhya Pradesh,3,23.2667,77.4,58.7415,79.3576,58.5388,87.4543,71.023
17,Visakhapatnam,Andhra Pradesh,0,17.7,83.3,1.5987,1.1159,66.2502,46.5898,28.8886
18,Pimpri-Chinchwad,Maharashtra,1,18.6279,73.801,37.7444,54.6972,12.7148,58.543,40.9249
19,Nagpur,Maharashtra,2,23.3,82.6667,49.19,65.5424,69.5947,70.2805,63.6519
20,Vadodara,Gujarat,1,22.3,73.2,20.9702,41.4861,44.1228,73.292,44.9678
21,Delhi,Delhi,2,28.6667,77.4333,49.2198,49.7181,39.5546,79.067,54.3899
22,Ludhiana,Punjab,2,30.9,75.85,85.435,72.4296,35.1479,62.032,63.7611
23,Agra,Uttar Pradesh,0,27.1833,78.0167,18.8228,66.844,12.4101,29.1825,31.8148
24,Nashik,Maharashtra,1,20.011,73.7903,43.3629,39.501,68.419,22.6522,43.4838
25,Faridabad,Haryana,1,28.4333,77.3167,28.3854,61.1484,33.4386,55.8937,44.7165
26,Meerut,Uttar Pradesh,1,28.9833,77.7,70.369,60.1796,47.656,10.4633,47.167
27,Rajkot,Gujarat,2,25.7311,75.5925,86.6474,78.5273,24.6663,61.8226,62.9159
28,Kalyan-Dombivali,Maharashtra,2,19.2354,73.1299,61.0424,54.4266,48.1887,87.2377,62.7239
29,Vasai-Virar,Maharashtra,1,19.4259,72.8225,22.6579,34.6717,84.9528,28.4019,42.6711
30,Varanasi,Uttar Pradesh,3,25.3333,83.0,67.734,69.4096,72.5779,76.7595,71.6202
